Tri,TriSig,Dex,DexSig
3665.5,0.02204,3665.5,0.0248
3665,0.01505,3665,0.02483
3664.5,0.01428,3664.5,0.01784
3664,0.01216,3664,0.0046
3663.5,0.01538,3663.5,0.00696
3663,0.02585,3663,0.01824
3662.5,0.02322,3662.5,0.023
3662,0.01202,3662,0.01901
3661.5,0.01212,3661.5,0.01896
3661,0.01533,3661,0.02355
3660.5,0.01824,3660.5,0.02477
3660,0.01909,3660,0.02517
3659.5,0.02234,3659.5,0.02327
3659,0.0201,3659,0.02307
3658.5,0.01629,3658.5,0.0214
3658,0.01907,3658,0.01334
3657.5,0.01892,3657.5,0.0099
3657,0.01515,3657,0.01114
3656.5,0.01904,3656.5,0.01224
3656,0.02912,3656,0.01619
3655.5,0.03748,3655.5,0.02388
3655,0.03628,3655,0.02815
3654.5,0.02565,3654.5,0.02252
3654,0.01121,3654,0.01358
3653.5,0.01387,3653.5,0.01106
3653,0.02295,3653,0.01171
3652.5,0.02973,3652.5,0.01839
3652,0.0284,3652,0.01663
3651.5,0.02727,3651.5,0.00595
3651,0.02358,3651,0.01179
3650.5,0.02174,3650.5,0.01827
3650,0.03446,3650,0.01179
3649.5,0.04144,3649.5,0.00213
3649,0.03675,3649,0.00258
3648.5,0.03817,3648.5,0.01317
3648,0.0388,3648,0.02039
3647.5,0.04561,3647.5,0.02752
3647,0.04849,3647,0.01781
3646.5,0.03775,3646.5,0.01646
3646,0.02903,3646,0.02365
3645.5,0.01496,3645.5,0.01212
3645,0.01348,3645,0.01272
3644.5,0.0206,3644.5,0.01133
3644,0.02655,3644,0.01337
3643.5,0.02204,3643.5,0.01754
3643,0.01247,3643,0.01186
3642.5,0.01628,3642.5,0.01006
3642,0.025,3642,0.01683
3641.5,0.02385,3641.5,0.01748
3641,0.02049,3641,0.0154
3640.5,0.02035,3640.5,0.01713
3640,0.01528,3640,0.01287
3639.5,0.01275,3639.5,0.01227
3639,0.02152,3639,0.01921
3638.5,0.02787,3638.5,0.0214
3638,0.02435,3638,0.02052
3637.5,0.02024,3637.5,0.01794
3637,0.01511,3637,0.01259
3636.5,0.00996,3636.5,0.0098
3636,0.00882,3636,0.01588
3635.5,0.0098,3635.5,0.01714
3635,0.01749,3635,0.01427
3634.5,0.02382,3634.5,0.01604
3634,0.02095,3634,0.01604
3633.5,0.01723,3633.5,0.01575
3633,0.01422,3633,0.0135
3632.5,0.0211,3632.5,0.01985
3632,0.03628,3632,0.02622
3631.5,0.03917,3631.5,0.02573
3631,0.02818,3631,0.0216
3630.5,0.0283,3630.5,0.0265
3630,0.03162,3630,0.02687
3629.5,0.02775,3629.5,0.01748
3629,0.02737,3629,0.0059
3628.5,0.04041,3628.5,0.00651
3628,0.05483,3628,0.02265
3627.5,0.03638,3627.5,0.02603
3627,0.02072,3627,0.02515
3626.5,0.01776,3626.5,0.02717
3626,0.02209,3626,0.0275
3625.5,0.02537,3625.5,0.0239
3625,0.02069,3625,0.01694
3624.5,0.0208,3624.5,0.01718
3624,0.02545,3624,0.02
3623.5,0.02009,3623.5,0.01511
3623,0.01633,3623,0.00847
3622.5,0.01857,3622.5,0.0096
3622,0.01753,3622,0.01074
3621.5,0.01999,3621.5,0.00729
3621,0.0208,3621,0.00779
3620.5,0.02015,3620.5,0.01101
3620,0.03122,3620,0.01743
3619.5,0.03823,3619.5,0.01989
3619,0.02643,3619,0.01347
3618.5,0.01654,3618.5,0.01819
3618,0.02532,3618,0.02697
3617.5,0.02938,3617.5,0.02572
3617,0.02617,3617,0.01814
3616.5,0.02337,3616.5,0.01026
3616,0.0213,3616,0.01476
3615.5,0.0262,3615.5,0.02229
3615,0.03277,3615,0.01941
3614.5,0.03402,3614.5,0.01307
3614,0.03142,3614,0.01516
